1 Conv. Training,2 Conv. Training,3 Conv. Training,4 Conv. Training,5 Conv. Training,6 Conv. Training,1 Conv. Validation,2 Conv. Validation,3 Conv. Validation,4 Conv. Validation,5 Conv. Validation,6 Conv. Validation
0.997600019,0.99816668,1,0.999316692,0.997983336,0.996166706,0.919400036,0.913600028,0.925700068,0.91900003,0.914100051,0.907400072
0.99998337,0.99998337,0.998616695,0.997733355,0.999333322,0.999933362,0.923400044,0.92020005,0.926000059,0.924400032,0.914200068,0.911300063
0.997983336,1,0.9975667,0.998750031,0.998566687,0.997383356,0.925200045,0.923000038,0.924700022,0.92020005,0.913300037,0.909700036
0.997850001,0.99816668,0.99998337,1,0.998233318,0.998133361,0.925200045,0.919700027,0.926600039,0.921200037,0.914800048,0.910200059
0.998300016,1,0.9975667,0.997083366,0.998283327,1,0.925900042,0.921800017,0.915400028,0.919200063,0.908100069,0.912200034
0.996900022,0.997966707,0.999800026,0.999166667,0.999949992,0.996566653,0.925000072,0.92020005,0.925600052,0.910300016,0.912900031,0.910100043
0.99788332,1,0.997166693,0.999949992,0.997766674,1,0.923400044,0.922900021,0.919500053,0.922200024,0.915400028,0.906700015
0.997900009,0.998566687,0.999949992,0.997900009,0.997550011,0.997833371,0.923300028,0.91960007,0.925400019,0.920000017,0.915900052,0.911300063
0.998700023,1,1,1,0.997666657,0.997816682,0.923700035,0.922400057,0.927200019,0.921000063,0.915500045,0.91140002
0.998533368,0.998099983,1,0.999216676,1,0.998216689,0.923500061,0.919200063,0.927200019,0.91960007,0.914600015,0.911000073
