,IXT NODROP,IXT CONV10,IXT MAX10,IXT FLAT10,IXT DENSE10,,IXT CONV20,IXT MAX20,IXT FLAT20,IXT DENSE20,,IXT CONV30,IXT MAX30,IXT FLAT30,IXT DENSE30,,IXT CONV50,IXT MAX50,IXT FLAT50,IXT DENSE50
38,,3.316539825,3.317336448,3.316872632,3.316990322,,3.316477094,3.316746245,3.316768096,3.316951646,,3.31692493,3.318810948,3.317273174,3.316951646,,3.317804145,3.317348538,3.314749974,3.309886772
39,,3.31657059,3.317072192,3.315853467,3.317470887,,3.316937122,3.316535909,3.316509699,3.308518734,,3.317887328,3.317504364,3.317860655,3.308518734,,3.316861361,3.318987592,3.316815723,3.316280056
40,,3.316983568,3.316575603,3.317618377,3.316534137,,3.315974891,3.316952804,3.317525786,3.315505504,,3.315504287,3.316810523,3.316410672,3.315505504,,3.316390954,3.315196108,3.316430055,3.31897387
41,,3.318540391,3.314255456,3.317682724,3.317735195,,3.316944755,3.3163305,3.31638196,3.318516909,,3.316940651,3.317829793,3.316520423,3.318516909,,3.31690841,3.319067157,3.318736219,3.30989452
42,,3.316841437,3.317049874,3.316147469,3.316477094,,3.316937122,3.316410672,3.313770049,3.317502307,,3.317032016,3.316477094,3.317580998,3.317502307,,3.316410672,3.318380982,3.316093934,3.292004721
43,,3.317337299,3.315956774,3.316841437,3.316872632,,3.317356264,3.316477094,3.316841437,3.316342787,,3.317823869,3.316872632,3.316919406,3.316342787,,3.317000898,3.317525289,3.316275735,3.316636555
44,,3.316841437,3.316841437,3.316841437,3.316694844,,3.317130946,3.316841437,3.316872632,3.316250043,,3.316477094,3.317241979,3.318274592,3.316250043,,3.317148778,3.314676103,3.316544067,3.315644921
45,,3.316477094,3.314781903,3.315858506,3.316841437,,3.316841437,3.316694844,3.316872632,3.316841437,,3.316575603,3.316812726,3.316841437,3.316841437,,3.316937122,3.31846515,3.316636555,3.316477094
46,,3.31608439,3.316760365,3.316755297,3.316841437,,3.31666914,3.315820916,3.316759674,3.317357699,,3.315580432,3.316710525,3.3166804,3.317357699,,3.317177489,3.318752406,3.317860655,3.309163793
47,,3.316452714,3.315663249,3.316841437,3.316841437,,3.316841437,3.316151363,3.316841437,3.317177489,,3.316477094,3.316841437,3.317273174,3.317177489,,3.316841437,3.316223247,3.314894785,3.317534483
48,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316694844,3.316812726,3.316841437,3.316841437,,3.317485314,3.316841437,3.316812726,3.316841437,,3.316477094,3.316400895,3.317111067,3.312656203
49,,3.317193002,3.316477094,3.316477094,3.316841437,,3.31422836,3.316841437,3.317284903,3.316509716,,3.316841437,3.316841437,3.316841437,3.316509716,,3.31690841,3.316398171,3.316872632,3.317691662
50,,3.316841437,3.316937122,3.316841437,3.317456603,,3.316841437,3.316872632,3.316477094,3.316841437,,3.316477094,3.316841437,3.316477094,3.316841437,,3.316812726,3.317379638,3.316843921,3.318254105
51,,3.316841437,3.316795874,3.316841437,3.316841437,,3.316841437,3.317032783,3.316841437,3.316108498,,3.317177489,3.316841437,3.316841437,3.316108498,,3.316841437,3.316924092,3.317069709,3.311925199
52,,3.316841437,3.316783726,3.316713822,3.316948851,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316477094,3.316841437,3.316841437,3.316841437,,3.316841437,3.316582299,3.316841437,3.31582271
53,,3.316841437,3.316812726,3.316554237,3.316462281,,3.316841437,3.316841437,3.316841437,3.31422836,,3.31838335,3.316872632,3.316841437,3.31422836,,3.316841437,3.317485314,3.317485314,3.316154521
54,,3.316713822,3.316841437,3.316841437,3.316582576,,3.317485314,3.31682701,3.316841437,3.316775015,,3.316841437,3.316841437,3.316841437,3.316775015,,3.316841437,3.316666132,3.316841437,3.316219011
55,,3.318016511,3.316812726,3.316841437,3.316841437,,3.316841437,3.316795874,3.316841437,3.314819204,,3.316448383,3.316841437,3.316841437,3.314819204,,3.316841437,3.31733695,3.316477094,3.317749622
56,,3.317177489,3.316841437,3.316841437,3.316841437,,3.316841437,3.316694844,3.316841437,3.31677904,,3.316841437,3.317177489,3.316841437,3.31677904,,3.316841437,3.317148998,3.316841437,3.317300111
57,,3.316841437,3.316937122,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.310786549
58,,3.316477094,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.313873269,,3.316841437,3.316841437,3.316841437,3.313873269,,3.316841437,3.316841437,3.316841437,3.316647795
59,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.317177489,3.316841437,3.316147469
